feature,importance,importance_percent
pm10,0.5485379,54.85379
pm2_5,0.31095663,31.095663
nitrogen_dioxide,0.08742042,8.742042
sulphur_dioxide,0.025564292,2.5564291
ozone,0.016582761,1.6582761
hour,0.0068190503,0.68190503
month,0.0039490396,0.39490396
day_of_week,0.00016985367,0.016985366
